表７－１　職種別、年齢階層別平均支給額
企業規模,計（100人以上）
職種,年齢階層,四分位,2025年４月分平均支給額「きまって支給する給与(A)」,『2025年４月分平均支給額「きまって支給する給与(A)」』の備考,2025年４月分平均支給額「きまって支給する給与のうち時間外手当(B)」,2025年４月分平均支給額「（A－B）」,2025年４月分平均支給額「（A－B）のうち通勤手当」
,,,円,,円,円,円
支店長,20歳未満,,***,,***,***,***
支店長,20歳以上24歳未満,,***,,***,***,***
支店長,24歳以上28歳未満,,***,,***,***,***
支店長,28歳以上32歳未満,,***,,***,***,***
支店長,32歳以上36歳未満,,X,,X,X,X
理学療法士,20歳未満,,***,,***,***,***
理学療法士,20歳以上24歳未満,,261107,,9691,251416,10581
理学療法士,24歳以上28歳未満,△,273570,,13266,260304,9966
理学療法士,28歳以上32歳未満,,296249,,14957,281292,9951
理学療法士,32歳以上36歳未満,◎,314570,,16483,298087,10287
理学療法士,36歳以上40歳未満,,346322,,18434,327888,9400
理学療法士,40歳以上44歳未満,▽,349427,,16366,333061,10691
理学療法士,44歳以上48歳未満,,354872,,13816,341056,7507
理学療法士,48歳以上52歳未満,,382774,,18708,364066,12095
理学療法士,52歳以上56歳未満,,433990,,19350,414640,19019
理学療法士,56歳以上,,449242,,12877,436365,13585
作業療法士,20歳未満,,***,,***,***,***
作業療法士,20歳以上24歳未満,,265677,,9082,256595,14894
作業療法士,24歳以上28歳未満,△,274665,,12334,262331,12514
作業療法士,28歳以上32歳未満,,289491,,15289,274202,10410
作業療法士,32歳以上36歳未満,◎,304629,,12672,291957,9055
作業療法士,36歳以上40歳未満,,323190,,14600,308590,7664
作業療法士,40歳以上44歳未満,▽,331339,,11326,320013,8529
作業療法士,44歳以上48歳未満,,349511,,15889,333622,10155
作業療法士,48歳以上52歳未満,,357259,,14024,343235,8285
作業療法士,52歳以上56歳未満,,384114,,11085,373029,9611
作業療法士,56歳以上,,401473,,8879,392594,9010
総看護師長,20歳未満,,***,,***,***,***
総看護師長,20歳以上24歳未満,,***,,***,***,***
総看護師長,24歳以上28歳未満,,***,,***,***,***
総看護師長,28歳以上32歳未満,,***,,***,***,***
総看護師長,32歳以上36歳未満,,***,,***,***,***
総看護師長,36歳以上40歳未満,,X,,X,X,X
総看護師長,40歳以上44歳未満,,565971,*,80649,485322,5481
総看護師長,44歳以上48歳未満,,555318,*,33367,521951,6083
総看護師長,48歳以上52歳未満,△,541928,,18861,523067,9554
